 x_m, y_m, vx_mps, ax_mps2
27.4107742,349.339017,63.9723446,0.3098443
27.5829889,351.3312869,63.9820292,0.3089352
27.7552,353.3235576,63.991684,0.3071273
27.9274072,355.3158278,64.0012808,0.3061842
28.0996107,357.3080987,64.0108467,0.3052861
28.2718102,359.3003704,64.0203832,0.3035011
28.4440055,361.2926416,64.0298624,0.302569
28.6161967,363.2849135,64.0393112,0.3016817
28.7883837,365.2771863,64.0487308,0.2999191
28.9605666,367.2694586,64.0580941,0.2989979
29.1327455,369.2617316,64.0674272,0.2981213
29.3049208,371.2540055,64.0767316,0.2963809
29.4770925,373.2462787,64.0859804,0.2954704
29.6492612,375.2385527,64.0951994,0.2946044
29.8214276,377.2308272,64.1043901,0.2928858
29.9935925,379.2231011,64.1135258,0.2919858
30.1657571,381.2153754,64.1226322,0.2911302
30.3379227,383.20765,64.1317106,0.2894329
30.5100911,385.1999236,64.1407348,0.2885432
30.6822645,387.1921972,64.14973,0.2876977
30.8544456,389.1844703,64.1586976,0.2860211
31.0266374,391.176742,64.1676117,0.2851413
31.1988435,393.1690127,64.1764972,0.2843056
31.3710684,395.161282,64.1853553,0.2826487
31.5433167,397.1535489,64.1941607,0.2817781
31.7155941,399.1458135,64.2029377,0.2809515
31.8879068,401.1380751,64.2116877,0.2793127
32.0602618,403.1303328,64.2203856,0.2784506
32.2326665,405.1225864,64.2290554,0.2776322
32.4051294,407.114835,64.2376986,0.2760098
32.5776593,409.1070776,64.2462901,0.2751551
32.7502656,411.0993137,64.2548539,0.2743439
32.9229582,413.0915423,64.2633913,0.2727364
33.0957473,415.0837625,64.2718775,0.2718886
33.2686434,417.0759735,64.2803363,0.2710844
33.4416566,419.0681743,64.2887689,0.2694917
33.6147972,421.060364,64.2971509,0.2686515
33.7880746,423.0525419,64.3055057,0.2678548
33.9614975,425.0447069,64.3138346,0.266279
34.1350735,427.0368588,64.3221134,0.265399
34.3088089,429.0289968,64.3303638,0.2569822
34.4827079,431.0211203,64.3383516,-0.0229991
34.6567729,433.0132296,64.3376367,-0.4812891
34.8310039,435.0053243,64.3226759,-0.9286813
35.0053985,436.9974044,64.293798,-2.2288529
35.1799526,438.989471,64.2244377,-3.1162664
35.3546598,440.9815239,64.1273358,-3.9611991
35.529512,442.9735639,64.0036936,-5.8271755
35.7045002,444.9655924,63.8213725,-6.8929173
35.8796139,446.9576097,63.6050318,-7.8932764
