x,y,l_width,r_width
36.79348,419.82354,5,5
36.88139,420.81967,5,5
36.96929,421.81579,5,5
37.05719,422.81192,5,5
37.14509,423.80805,5,5
37.233,424.80418,5,5
37.3209,425.80031,5,5
37.4088,426.79644,5,5
37.49671,427.79257,5,5
37.58461,428.7887,5,5
37.67251,429.78483,5,5
37.76041,430.78096,5,5
37.84832,431.77709,5,5
37.93622,432.77321,5,5
38.02412,433.76934,5,5
38.11203,434.76547,5,5
38.19993,435.7616,5,5
38.28783,436.75773,5,5
38.37573,437.75386,5,5
38.46364,438.74999,5,5
38.55154,439.74612,5,5
38.63944,440.74225,5,5
38.72735,441.73838,5,5
38.81525,442.7345,5,5
38.90315,443.73063,5,5
38.99105,444.72676,5,5
39.07896,445.72289,5,5
39.16686,446.71902,5,5
39.25476,447.71515,5,5
39.34267,448.71128,5,5
39.43057,449.70741,5,5
39.51847,450.70354,5,5
39.60637,451.69967,5,5
39.69428,452.6958,5,5
39.78218,453.69192,5,5
39.87008,454.68805,5,5
39.95799,455.68418,5,5
40.04589,456.68031,5,5
40.13379,457.67644,5,5
40.22169,458.67257,5,5
40.3096,459.6687,5,5
40.3975,460.66483,5,5
40.4854,461.66096,5,5
40.57331,462.65709,5,5
40.66121,463.65321,5,5
40.74911,464.64934,5,5
40.83701,465.64547,5,5
40.92492,466.6416,5,5
41.01282,467.63773,5,5
41.10072,468.63386,5,5
41.18863,469.62999,5,5
41.27653,470.62612,5,5
41.36443,471.62225,5,5
41.45233,472.61838,5,5
41.54024,473.61451,5,5
41.62814,474.61063,5,5
41.71604,475.60676,5,5
41.80395,476.60289,5,5
41.89185,477.59902,5,5
41.97975,478.59515,5,5
42.06765,479.59128,5,5
42.15556,480.58741,5,5
42.24346,481.58354,5,5
42.33136,482.57967,5,5
42.41927,483.5758,5,5
42.50717,484.57193,5,5
42.59507,485.56805,5,5
42.68297,486.56418,5,5
42.77088,487.56031,5,5
42.85878,488.55644,5,5
42.94668,489.55257,5,5
43.03459,490.5487,5,5
43.12249,491.54483,5,5
43.21039,492.54096,5,5
43.29829,493.53709,5,5
43.3862,494.53322,5,5
43.4741,495.52934,5,5
43.562,496.52547,5,5
43.6499,497.5216,5,5
43.73781,498.51773,5,5
43.82571,499.51386,5,5
43.91361,500.50999,5,5
44.00152,501.50612,5,5
44.08942,502.50225,5,5
44.17732,503.49838,5,5
44.26522,504.49451,5,5
44.35313,505.49064,5,5
44.44103,506.48676,5,5
44.52893,507.48289,5,5
44.61684,508.47902,5,5
44.70474,509.47515,5,5
44.79264,510.47128,5,5
44.88054,511.46741,5,5
44.96845,512.46354,5,5
45.05635,513.45967,5,5
45.14425,514.4558,5,5
45.23216,515.45193,5,5
45.32006,516.44805,5,5
45.40796,517.44418,5,5
45.49586,518.44031,5,5
45.58377,519.43644,5,5
45.67167,520.43257,5,5
45.75957,521.4287,5,5
45.84748,522.42483,5,5
45.93538,523.42096,5,5
46.02328,524.41709,5,5
46.11118,525.41322,5,5
46.19909,526.40935,5,5
46.28699,527.40547,5,5
46.37489,528.4016,5,5
46.4628,529.39773,5,5
46.5507,530.39386,5,5
46.6386,531.38999,5,5
46.7265,532.38612,5,5
46.81441,533.38225,5,5
46.90231,534.37838,5,5
46.99021,535.37451,5,5
47.07812,536.37064,5,5
47.16602,537.36676,5,5
47.25392,538.36289,5,5
47.34182,539.35902,5,5
47.42973,540.35515,5,5
47.51763,541.35128,5,5
47.60553,542.34741,5,5
47.69344,543.34354,5,5
47.78134,544.33967,5,5
47.86924,545.3358,5,5
47.95714,546.33193,5,5
48.04505,547.32806,5,5
48.13295,548.32418,5,5
48.22085,549.32031,5,5
48.30876,550.31644,5,5
48.39666,551.31257,5,5
48.48456,552.3087,5,5
48.57246,553.30483,5,5
48.66037,554.30096,5,5
48.74827,555.29709,5,5
48.83617,556.29322,5,5
48.92408,557.28935,5,5
49.01198,558.28548,5,5
49.09988,559.2816,5,5
49.18778,560.27773,5,5
49.27569,561.27386,5,5
49.36359,562.26999,5,5
49.45149,563.26612,5,5
49.5394,564.26225,5,5
