s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
189.9714383; 13.6270967; 189.9579830; -0.0862783; -0.0000003; 63.0514502; 0.4268170
191.9711376; 13.7994140; 191.9502439; -0.0862789; -0.0000003; 63.0649854; 0.4242470
193.9708370; 13.9717325; 193.9425050; -0.0862795; -0.0000003; 63.0784362; 0.4229507
195.9705363; 14.1440521; 195.9347659; -0.0862800; -0.0000002; 63.0918431; 0.4216969
197.9702357; 14.3163726; 197.9270266; -0.0862804; -0.0000002; 63.1052074; 0.4191608
199.9699350; 14.4886940; 199.9192874; -0.0862809; -0.0000002; 63.1184885; 0.4178799
201.9696344; 14.6610162; 201.9115481; -0.0862813; -0.0000002; 63.1317262; 0.4166417
203.9693337; 14.8333391; 203.9038086; -0.0862816; -0.0000002; 63.1449220; 0.4141391
205.9690331; 15.0056627; 205.8960692; -0.0862819; -0.0000001; 63.1580358; 0.4128734
207.9687324; 15.1779869; 207.8883297; -0.0862822; -0.0000001; 63.1711067; 0.4116506
209.9684318; 15.3503116; 209.8805901; -0.0862824; -0.0000001; 63.1841363; 0.4091810
211.9681311; 15.5226367; 211.8728505; -0.0862826; -0.0000001; 63.1970850; 0.4079302
213.9678305; 15.6949622; 213.8651109; -0.0862828; -0.0000001; 63.2099916; 0.4067227
215.9675298; 15.8672880; 215.8573712; -0.0862829; -0.0000001; 63.2228573; 0.4042855
217.9672292; 16.0396141; 217.8496316; -0.0862830; -0.0000000; 63.2356433; 0.4030495
219.9669285; 16.2119403; 219.8418919; -0.0862831; -0.0000000; 63.2483876; 0.4018570
221.9666279; 16.3842666; 221.8341522; -0.0862831; -0.0000000; 63.2610917; 0.3994518
223.9663272; 16.5565930; 223.8264125; -0.0862831; 0.0000000; 63.2737172; 0.3982304
225.9660266; 16.7289193; 225.8186728; -0.0862831; 0.0000000; 63.2863016; 0.3970526
227.9657259; 16.9012455; 227.8109331; -0.0862831; 0.0000000; 63.2988463; 0.3946790
229.9654253; 17.0735716; 229.8031934; -0.0862830; 0.0000001; 63.3113135; 0.3934720
231.9651246; 17.2458974; 231.7954538; -0.0862828; 0.0000001; 63.3237402; 0.3923089
233.9648240; 17.4182230; 233.7877141; -0.0862827; 0.0000001; 63.3361277; 0.3899663
235.9645233; 17.5905482; 235.7799745; -0.0862825; 0.0000001; 63.3484388; 0.3887735
237.9642227; 17.7628730; 237.7722350; -0.0862823; 0.0000001; 63.3607099; 0.3876247
239.9639220; 17.9351974; 239.7644954; -0.0862820; 0.0000001; 63.3729424; 0.3853128
241.9636214; 18.1075213; 241.7567559; -0.0862818; 0.0000001; 63.3850996; 0.3841340
243.9633207; 18.2798445; 243.7490165; -0.0862815; 0.0000002; 63.3972172; 0.3829995
245.9630201; 18.4521672; 245.7412772; -0.0862811; 0.0000002; 63.4092968; 0.3807177
247.9627194; 18.6244891; 247.7335378; -0.0862808; 0.0000002; 63.4213021; 0.3795528
249.9624188; 18.7968103; 249.7257985; -0.0862804; 0.0000002; 63.4332684; 0.3784323
251.9621181; 18.9691307; 251.7180594; -0.0862800; 0.0000002; 63.4451972; 0.3761803
253.9618175; 19.1414503; 253.7103203; -0.0862795; 0.0000002; 63.4570527; 0.3750290
255.9615168; 19.3137689; 255.7025812; -0.0862790; 0.0000002; 63.4688698; 0.3739223
257.9612162; 19.4860866; 257.6948423; -0.0862785; 0.0000003; 63.4806498; 0.3716996
259.9609155; 19.6584032; 259.6871034; -0.0862780; 0.0000003; 63.4923576; 0.3705618
261.9606149; 19.8307188; 261.6793646; -0.0862775; 0.0000003; 63.5040274; 0.3694687
263.9603142; 20.0030333; 263.6716260; -0.0862769; 0.0000003; 63.5156607; 0.3672749
265.9600136; 20.1753466; 265.6638874; -0.0862763; 0.0000003; 63.5272227; 0.3661504
267.9597129; 20.3476586; 267.6561489; -0.0862757; 0.0000003; 63.5387473; 0.3650708
269.9594123; 20.5199694; 269.6484107; -0.0862750; 0.0000003; 63.5502358; 0.3629054
271.9591116; 20.6922789; 271.6406723; -0.0862743; 0.0000003; 63.5616541; 0.3617941
273.9588110; 20.8645869; 273.6329342; -0.0862736; 0.0000004; 63.5730354; 0.3607278
275.9585103; 21.0368936; 275.6251963; -0.0862729; 0.0000004; 63.5843812; 0.3585905
277.9582097; 21.2091987; 277.6174583; -0.0862721; 0.0000004; 63.5956577; 0.3574922
279.9579090; 21.3815023; 279.6097206; -0.0862713; 0.0000004; 63.6068977; 0.3564389
281.9576084; 21.5538044; 281.6019831; -0.0862705; 0.0000004; 63.6181025; 0.3543292
283.9573077; 21.7261047; 283.5942455; -0.0862697; 0.0000004; 63.6292391; 0.3532438
285.9570071; 21.8984034; 285.5865082; -0.0862688; 0.0000004; 63.6403397; 0.3522034
287.9567064; 22.0707004; 287.5787712; -0.0862680; 0.0000004; 63.6514056; 0.3501210
289.9564058; 22.2429956; 289.5710341; -0.0862670; 0.0000005; 63.6624042; 0.3490482
291.9561051; 22.4152889; 291.5632972; -0.0862661; 0.0000005; 63.6733672; 0.3480206
293.9558045; 22.5875804; 293.5555607; -0.0862652; 0.0000005; 63.6842961; 0.3459650
295.9555038; 22.7598699; 295.5478240; -0.0862642; 0.0000005; 63.6951585; 0.3449048
297.9552032; 22.9321574; 297.5400877; -0.0862632; 0.0000005; 63.7059858; 0.3438897
299.9549025; 23.1044430; 299.5323517; -0.0862621; 0.0000005; 63.7167795; 0.3418606
301.9546019; 23.2767263; 301.5246155; -0.0862611; 0.0000005; 63.7275076; 0.3408127
303.9543012; 23.4490076; 303.5168797; -0.0862600; 0.0000005; 63.7382010; 0.3398101
305.9540006; 23.6212867; 305.5091443; -0.0862589; 0.0000006; 63.7488612; 0.3378070
307.9536999; 23.7935636; 307.5014087; -0.0862577; 0.0000006; 63.7594568; 0.3367713
309.9533993; 23.9658381; 309.4936734; -0.0862566; 0.0000006; 63.7700181; 0.3357810
311.9530986; 24.1381104; 311.4859387; -0.0862554; 0.0000006; 63.7805467; 0.3338036
313.9527980; 24.3103802; 313.4782036; -0.0862542; 0.0000006; 63.7910115; 0.3327800
315.9524973; 24.4826476; 315.4704690; -0.0862530; 0.0000006; 63.8014425; 0.3318017
317.9521967; 24.6549126; 317.4627349; -0.0862517; 0.0000006; 63.8118412; 0.3298496
319.9518960; 24.8271750; 319.4550005; -0.0862504; 0.0000006; 63.8221770; 0.3288379
321.9515954; 24.9994349; 321.4472665; -0.0862491; 0.0000007; 63.8324794; 0.3278716
323.9512947; 25.1716921; 323.4395330; -0.0862478; 0.0000007; 63.8427499; 0.3259444
325.9509941; 25.3439467; 325.4317993; -0.0862464; 0.0000007; 63.8529584; 0.3249446
327.9506934; 25.5161985; 327.4240660; -0.0862451; 0.0000007; 63.8631340; 0.3239900
329.9503928; 25.6884476; 329.4163333; -0.0862437; 0.0000007; 63.8732780; 0.3220874
331.9500921; 25.8606939; 331.4086002; -0.0862422; 0.0000007; 63.8833609; 0.3210991
333.9497915; 26.0329373; 333.4008677; -0.0862408; 0.0000007; 63.8934113; 0.3201562
335.9494909; 26.2051778; 335.3931357; -0.0862393; 0.0000007; 63.9034306; 0.3182778
337.9491902; 26.3774153; 337.3854034; -0.0862378; 0.0000008; 63.9133895; 0.3173011
339.9488896; 26.5496498; 339.3776716; -0.0862363; 0.0000008; 63.9233163; 0.3163695
341.9485889; 26.7218813; 341.3699404; -0.0862347; 0.0000008; 63.9332125; 0.3145150
343.9482883; 26.8941095; 343.3622089; -0.0862331; 0.0000008; 63.9430491; 0.3135496
345.9479876; 27.0663344; 345.3544780; -0.0862314; 0.0000008; 63.9528540; 0.3126294
347.9476870; 27.2385561; 347.3467477; -0.0862297; 0.0000009; 63.9626287; 0.3107984
349.9473863; 27.4107742; 349.3390170; -0.0862280; 0.0000009; 63.9723446; 0.3098443
351.9470857; 27.5829889; 351.3312869; -0.0862262; 0.0000009; 63.9820292; 0.3089352
353.9467850; 27.7552000; 353.3235576; -0.0862243; 0.0000009; 63.9916840; 0.3071273
355.9464844; 27.9274072; 355.3158278; -0.0862224; 0.0000010; 64.0012808; 0.3061842
357.9461837; 28.0996107; 357.3080987; -0.0862205; 0.0000010; 64.0108467; 0.3052861
359.9458831; 28.2718102; 359.3003704; -0.0862185; 0.0000010; 64.0203832; 0.3035011
361.9455824; 28.4440055; 361.2926416; -0.0862164; 0.0000011; 64.0298624; 0.3025690
363.9452818; 28.6161967; 363.2849135; -0.0862142; 0.0000011; 64.0393112; 0.3016817
365.9449811; 28.7883837; 365.2771863; -0.0862122; 0.0000010; 64.0487308; 0.2999191
367.9446805; 28.9605666; 367.2694586; -0.0862101; 0.0000010; 64.0580941; 0.2989979
369.9443798; 29.1327455; 369.2617316; -0.0862082; 0.0000009; 64.0674272; 0.2981213
371.9440792; 29.3049208; 371.2540055; -0.0862064; 0.0000009; 64.0767316; 0.2963809
373.9437785; 29.4770925; 373.2462787; -0.0862047; 0.0000008; 64.0859804; 0.2954704
375.9434779; 29.6492612; 375.2385527; -0.0862034; 0.0000006; 64.0951994; 0.2946044
377.9431772; 29.8214276; 377.2308272; -0.0862024; 0.0000004; 64.1043901; 0.2928858
379.9428766; 29.9935925; 379.2231011; -0.0862019; 0.0000001; 64.1135258; 0.2919858
381.9425759; 30.1657571; 381.2153754; -0.0862021; -0.0000003; 64.1226322; 0.2911302
